id,name
i1,Lower Back Pain
i2,Knee Pain
i3,Wrist Pain
i4,Shoulder Injury
i5,Neck Strain
i6,Tennis Elbow
i7,Hip Flexor Strain
i8,Ankle Sprain
i9,Hamstring Pull
i10,Groin Pull
i11,Shin Splints
i12,Plantar Fasciitis
i13,Rotator Cuff Tear
i14,Achilles Tendinitis
i15,IT Band Syndrome
